State,Name,Electors,Population
AK,Alaska,3,710000
AL,Alabama,9,4780000
AR,Arkansas,6,2916000
AZ,Arizona,11,6392000
CA,California,55,37254000
CO,Colorado,9,5029000
CT,Connecticut,7,3574000
DC,Dist. of Col.,3,602000
DE,Delaware,3,898000
FL,Florida,29,18801000
GA,Georgia,16,9688000
HI,Hawaii,4,1360000
IA,Iowa,6,3046000
ID,Idaho,4,1568000
IL,Illinois,20,12831000
IN,Indiana,11,6484000
KS,Kansas,6,2853000
KY,Kentucky,8,4339000
LA,Louisiana,8,4533000
MA,Massachusetts,11,6548000
MD,Maryland,10,5774000
ME,Maine,4,1328000
MI,Michigan,16,9884000
MN,Minnesota,10,5304000
MO,Missouri,10,5989000
MS,Mississippi,6,2967000
MT,Montana,3,989000
NC,North Carolina,15,9535000
ND,North Dakota,3,673000
NE,Nebraska,5,1826000
NH,New Hampshire,4,1316000
NJ,New Jersey,14,8792000
NM,New Mexico,5,2059000
NV,Nevada,6,2701000
NY,New York,29,19378000
OH,Ohio,18,11537000
OK,Oklahoma,7,3751000
OR,Oregon,7,3831000
PA,Pennsylvania,20,12702000
RI,Rhode Island,4,1053000
SC,South Carolina,9,4625000
SD,South Dakota,3,814000
TN,Tennessee,11,6346000
TX,Texas,38,25146000
UT,Utah,6,2764000
VA,Virginia,13,8001000
VT,Vermont,3,626000
WA,Washington,12,6725000
WI,Wisconsin,10,5687000
WV,West Virginia,5,1853000
WY,Wyoming,3,564000
